index,Year_of_Release,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Critic_Score,Critic_Count,User_Count,Global_Sales
5517,2003.0,0.24,0.09,0.0,0.01,55.0,4.0,6.0,0.33
2668,2004.0,0.21,0.14,0.38,0.04,46.0,28.0,34.0,0.77
14904,2016.0,0.02,0.0,0.0,0.0,57.0,11.0,9.0,0.03
6778,2014.0,0.14,0.03,0.04,0.04,57.0,40.0,72.0,0.24
12227,2004.0,0.03,0.03,0.0,0.01,57.0,25.0,5.0,0.07
7026,2004.0,0.17,0.05,0.0,0.01,66.0,33.0,22.0,0.23
12258,2011.0,0.01,0.05,0.0,0.01,61.0,18.0,95.0,0.07
8666,2006.0,0.08,0.03,0.03,0.02,67.0,22.0,23.0,0.16
5393,2006.0,0.27,0.02,0.02,0.03,56.0,51.0,58.0,0.34
10100,2002.0,0.08,0.02,0.0,0.0,81.0,19.0,13.0,0.11
3143,2003.0,0.31,0.24,0.0,0.08,58.0,24.0,13.0,0.64
3397,2002.0,0.46,0.12,0.0,0.02,62.0,11.0,22.0,0.59
16631,2003.0,0.01,0.0,0.0,0.0,81.0,9.0,4.0,0.01
3094,2003.0,0.41,0.11,0.12,0.02,89.0,50.0,161.0,0.65
5331,1999.0,0.19,0.13,0.0,0.02,86.0,12.0,37.0,0.35
586,2010.0,1.56,0.8,0.04,0.21,74.0,71.0,288.0,2.61
6977,2002.0,0.11,0.09,0.0,0.03,47.0,12.0,6.0,0.23
7191,2012.0,0.04,0.13,0.01,0.04,47.0,13.0,37.0,0.22
8946,2008.0,0.13,0.0,0.0,0.01,68.0,18.0,4.0,0.15
16193,2002.0,0.0,0.01,0.0,0.0,93.0,20.0,805.0,0.01
14919,2006.0,0.0,0.02,0.0,0.0,80.0,48.0,326.0,0.03
11897,2005.0,0.06,0.01,0.0,0.0,44.0,16.0,4.0,0.07
14,2010.0,15.0,4.89,0.24,1.69,61.0,45.0,106.0,21.81
6353,2011.0,0.11,0.09,0.04,0.03,77.0,56.0,124.0,0.27
580,2010.0,1.47,0.93,0.0,0.24,80.0,65.0,127.0,2.63
1569,2013.0,0.43,0.36,0.32,0.16,85.0,50.0,332.0,1.27
6514,2001.0,0.2,0.05,0.0,0.01,70.0,17.0,16.0,0.26
10255,2016.0,0.05,0.05,0.0,0.01,77.0,6.0,43.0,0.11
13762,2006.0,0.0,0.03,0.0,0.01,77.0,41.0,349.0,0.04
3741,2010.0,0.18,0.2,0.07,0.08,58.0,49.0,15.0,0.54
8362,2000.0,0.09,0.06,0.0,0.01,35.0,4.0,6.0,0.17
10409,2003.0,0.08,0.03,0.0,0.0,62.0,9.0,11.0,0.11
5832,2009.0,0.21,0.05,0.0,0.04,66.0,18.0,4.0,0.3
11863,2009.0,0.01,0.05,0.0,0.01,72.0,43.0,125.0,0.07
1664,2010.0,0.42,0.46,0.15,0.18,76.0,34.0,130.0,1.21
8154,2005.0,0.05,0.04,0.08,0.01,59.0,16.0,14.0,0.18
5119,2006.0,0.27,0.07,0.01,0.03,80.0,54.0,84.0,0.37
12362,2002.0,0.05,0.01,0.0,0.0,67.0,12.0,11.0,0.06
13599,2006.0,0.04,0.0,0.0,0.0,43.0,5.0,4.0,0.04
6813,2010.0,0.22,0.01,0.0,0.02,56.0,6.0,12.0,0.24
5822,2005.0,0.25,0.03,0.0,0.02,73.0,22.0,19.0,0.3
11614,2007.0,0.06,0.01,0.0,0.01,74.0,10.0,6.0,0.08
7619,2009.0,0.16,0.03,0.0,0.02,65.0,7.0,9.0,0.2
1274,2015.0,0.88,0.47,0.0,0.14,85.0,16.0,694.0,1.49
4183,2010.0,0.37,0.01,0.07,0.02,48.0,26.0,13.0,0.47
534,2003.0,1.68,0.74,0.0,0.36,87.0,47.0,241.0,2.78
11335,2014.0,0.03,0.05,0.0,0.01,47.0,4.0,7.0,0.08
9208,2015.0,0.09,0.04,0.0,0.01,75.0,25.0,55.0,0.14
11000,2002.0,0.07,0.02,0.0,0.0,85.0,8.0,7.0,0.09
2282,2012.0,0.35,0.41,0.02,0.14,81.0,38.0,110.0,0.91
2880,2007.0,0.6,0.04,0.0,0.07,75.0,10.0,8.0,0.71
