Genre,NA,EU,JP,Other
Action,1.0179797950294396,1.098754164045533,0.6311553584560868,1.1965791228120262
Adventure,0.8991655353023831,0.9836208266156714,1.5057915376317006,0.7867036140270929
Fighting,1.0108124137267687,0.8266579814480144,1.343706413818583,0.9131391543326465
Misc,1.0288094771419887,0.9775139880822719,0.9195552439517464,1.0401517675108964
Platform,1.0917939021508993,0.8886939150421085,1.0867157936044838,0.6938083788975224
Puzzle,1.0278274963144445,0.7609829757968392,1.619285592406431,0.573855999599561
Racing,0.9968599130933967,1.193252676095214,0.5350096790764044,1.1801365245145743
Role-Playing,0.7163486288239304,0.742871830742494,2.623935938328481,0.7184781028415601
Shooter,1.1404210632426959,1.1066901588768208,0.2549705194689094,1.1069101018569898
Simulation,0.9493061740217252,1.059666224333009,1.12249100705255,0.898867760915791
Sports,1.0423696470463764,1.037431830029703,0.7026260975636928,1.1337185510507564
Strategy,0.797393619246362,0.9497515830177117,1.953410064709161,0.7260788690942903
