region,model,MSE,RMSE,MAE,R2
NA,Linear Regression,1.0534897954392288,1.0263965098533943,0.30099310322476674,0.031208332983119647
NA,Decision Tree,1.1663669628962388,1.0799847049362499,0.3103265656651119,-0.0725937728391084
NA,Random Forest,1.1260490917924995,1.061154603152858,0.30145814572080054,-0.03551736476542766
EU,Linear Regression,0.5054839969167554,0.7109739776649743,0.19487818005808824,0.014826095837937703
EU,Decision Tree,0.5316634478840643,0.7291525546029886,0.19787467518513563,-0.036196908007088746
EU,Random Forest,0.5172704970787753,0.7192151952501944,0.19446396629038976,-0.00814545707343206
JP,Linear Regression,0.08245335159003106,0.28714691638607415,0.09926464450463138,0.11965896125544506
JP,Decision Tree,0.12084183635543634,0.34762312402289397,0.10107601994950623,-0.2902086536141044
JP,Random Forest,0.10112647583161885,0.318003892793184,0.09754554881505625,-0.07971095245262338
